STUDY_ID	SAMPLE_ID	EGFR
gbm_tcga_pub2013	TCGA-06-6391-01	NA
gbm_tcga_pub2013	TCGA-06-6695-01	NA
gbm_tcga_pub2013	TCGA-06-6698-01	NA
gbm_tcga_pub2013	TCGA-06-6700-01	NA
gbm_tcga_pub2013	TCGA-06-6701-01	NA
gbm_tcga_pub2013	TCGA-08-0244-01	NA
gbm_tcga_pub2013	TCGA-08-0245-01	NA
gbm_tcga_pub2013	TCGA-08-0246-01	NA
gbm_tcga_pub2013	TCGA-08-0344-01	NA
gbm_tcga_pub2013	TCGA-08-0345-01	NA
gbm_tcga_pub2013	TCGA-08-0346-01	NA
gbm_tcga_pub2013	TCGA-08-0347-01	NA
gbm_tcga_pub2013	TCGA-08-0348-01	NA
gbm_tcga_pub2013	TCGA-08-0349-01	NA
gbm_tcga_pub2013	TCGA-08-0350-01	NA
gbm_tcga_pub2013	TCGA-08-0351-01	NA
gbm_tcga_pub2013	TCGA-08-0352-01	NA
gbm_tcga_pub2013	TCGA-08-0353-01	NA
gbm_tcga_pub2013	TCGA-08-0354-01	NA
gbm_tcga_pub2013	TCGA-08-0355-01	NA
gbm_tcga_pub2013	TCGA-08-0356-01	NA
gbm_tcga_pub2013	TCGA-08-0357-01	NA
gbm_tcga_pub2013	TCGA-08-0358-01	NA
gbm_tcga_pub2013	TCGA-08-0359-01	NA
gbm_tcga_pub2013	TCGA-08-0360-01	NA
gbm_tcga_pub2013	TCGA-08-0373-01	NA
gbm_tcga_pub2013	TCGA-08-0375-01	NA
gbm_tcga_pub2013	TCGA-08-0380-01	NA
gbm_tcga_pub2013	TCGA-08-0385-01	NA
gbm_tcga_pub2013	TCGA-08-0386-01	20199.56
gbm_tcga_pub2013	TCGA-08-0389-01	NA
gbm_tcga_pub2013	TCGA-08-0390-01	NA
gbm_tcga_pub2013	TCGA-08-0392-01	NA
gbm_tcga_pub2013	TCGA-08-0509-01	NA
gbm_tcga_pub2013	TCGA-08-0510-01	NA
gbm_tcga_pub2013	TCGA-08-0511-01	NA
gbm_tcga_pub2013	TCGA-08-0512-01	NA
gbm_tcga_pub2013	TCGA-08-0514-01	NA
gbm_tcga_pub2013	TCGA-08-0516-01	NA
gbm_tcga_pub2013	TCGA-08-0517-01	NA
gbm_tcga_pub2013	TCGA-08-0518-01	NA
gbm_tcga_pub2013	TCGA-08-0520-01	NA
gbm_tcga_pub2013	TCGA-08-0521-01	NA
gbm_tcga_pub2013	TCGA-08-0522-01	NA
gbm_tcga_pub2013	TCGA-08-0524-01	NA
gbm_tcga_pub2013	TCGA-08-0525-01	NA
gbm_tcga_pub2013	TCGA-08-0529-01	NA
gbm_tcga_pub2013	TCGA-08-0531-01	NA
gbm_tcga_pub2013	TCGA-12-0615-01	NA
gbm_tcga_pub2013	TCGA-12-0616-01	1863.96
gbm_tcga_pub2013	TCGA-12-0618-01	10717.66
gbm_tcga_pub2013	TCGA-12-0619-01	58212.52
gbm_tcga_pub2013	TCGA-12-0620-01	NA
gbm_tcga_pub2013	TCGA-12-0654-01	NA
gbm_tcga_pub2013	TCGA-12-0656-01	NA
gbm_tcga_pub2013	TCGA-12-0657-01	NA
gbm_tcga_pub2013	TCGA-12-0662-01	NA
gbm_tcga_pub2013	TCGA-12-0670-01	NA
gbm_tcga_pub2013	TCGA-12-0688-01	NA
gbm_tcga_pub2013	TCGA-12-0691-01	NA
gbm_tcga_pub2013	TCGA-12-0692-01	NA
gbm_tcga_pub2013	TCGA-12-0703-01	NA
gbm_tcga_pub2013	TCGA-12-0707-01	NA
gbm_tcga_pub2013	TCGA-12-0769-01	NA
gbm_tcga_pub2013	TCGA-12-0772-01	NA
gbm_tcga_pub2013	TCGA-12-0773-01	NA
gbm_tcga_pub2013	TCGA-12-0775-01	NA
gbm_tcga_pub2013	TCGA-12-0776-01	NA
gbm_tcga_pub2013	TCGA-12-0778-01	NA
gbm_tcga_pub2013	TCGA-12-0780-01	NA
gbm_tcga_pub2013	TCGA-12-0818-01	NA
gbm_tcga_pub2013	TCGA-12-0819-01	NA
gbm_tcga_pub2013	TCGA-12-0820-01	NA
gbm_tcga_pub2013	TCGA-12-0821-01	2435
gbm_tcga_pub2013	TCGA-12-0822-01	NA
gbm_tcga_pub2013	TCGA-12-0826-01	NA
gbm_tcga_pub2013	TCGA-12-0827-01	NA
gbm_tcga_pub2013	TCGA-12-0828-01	NA
gbm_tcga_pub2013	TCGA-12-0829-01	NA
gbm_tcga_pub2013	TCGA-12-1088-01	NA
gbm_tcga_pub2013	TCGA-12-1089-01	NA
gbm_tcga_pub2013	TCGA-12-1090-01	NA
gbm_tcga_pub2013	TCGA-12-1091-01	NA
gbm_tcga_pub2013	TCGA-12-1092-01	NA
gbm_tcga_pub2013	TCGA-12-1093-01	NA
gbm_tcga_pub2013	TCGA-12-1094-01	NA
gbm_tcga_pub2013	TCGA-12-1095-01	NA
