RT_well_position,RT_barcode,hash_well,RT_condition
A03,RT_BC_99,01F09,BT112GF
A03,RT_BC_99,01F10,BT112GF
A03,RT_BC_99,01F11,BT112GF
A03,RT_BC_99,01F12,BT112GF
A03,RT_BC_99,01G01,BT112GF
A03,RT_BC_99,01G02,BT112GF
A03,RT_BC_99,01G03,BT112GF
A03,RT_BC_99,01G04,BT112GF
A03,RT_BC_99,01G05,BT112GF
A03,RT_BC_99,01G06,BT112GF
A03,RT_BC_99,01G07,BT112GF
A03,RT_BC_99,01G08,BT112GF
A03,RT_BC_99,01G09,BT112GF
A03,RT_BC_99,01G10,BT112GF
A03,RT_BC_99,01G11,BT112GF
A03,RT_BC_99,01G12,BT112GF
A03,RT_BC_99,01H01,BT112GF
A03,RT_BC_99,01H02,BT112GF
A03,RT_BC_99,01H03,BT112GF
